,recipe_id,book_id,date,ethnicgroup,recipe_class,region
0,0,fofb.xml,1922,mexican,soups,ethnic
1,1,fofb.xml,1922,mexican,meatfishgame,ethnic
2,2,fofb.xml,1922,mexican,soups,ethnic
3,3,fofb.xml,1922,mexican,fruitvegbeans,ethnic
4,4,fofb.xml,1922,mexican,eggscheesedairy,ethnic
5,5,fofb.xml,1922,mexican,breadsweets,ethnic
6,6,fofb.xml,1922,mexican,fruitvegbeans,ethnic
7,7,fofb.xml,1922,mexican,meatfishgame,ethnic
8,8,fofb.xml,1922,mexican,meatfishgame,ethnic
9,9,fofb.xml,1922,portuguese,beverages,ethnic
10,10,fofb.xml,1922,portuguese,beverages,ethnic
11,11,fofb.xml,1922,portuguese,soups,ethnic
12,12,fofb.xml,1922,portuguese,meatfishgame,ethnic
13,13,fofb.xml,1922,portuguese,meatfishgame,ethnic
14,14,fofb.xml,1922,portuguese,meatfishgame,ethnic
15,15,fofb.xml,1922,portuguese,meatfishgame,ethnic
16,16,fofb.xml,1922,portuguese,fruitvegbeans,ethnic
17,17,fofb.xml,1922,portuguese,eggscheesedairy,ethnic
18,18,fofb.xml,1922,portuguese,breadsweets,ethnic
19,19,fofb.xml,1922,italian,soups,ethnic
20,20,fofb.xml,1922,italian,soups,ethnic
21,21,fofb.xml,1922,italian,soups,ethnic
22,22,fofb.xml,1922,italian,soups,ethnic
23,23,fofb.xml,1922,italian,eggscheesedairy,ethnic
24,24,fofb.xml,1922,italian,eggscheesedairy,ethnic
25,25,fofb.xml,1922,italian,fruitvegbeans,ethnic
26,26,fofb.xml,1922,italian,fruitvegbeans,ethnic
27,27,fofb.xml,1922,italian,breadsweets,ethnic
28,28,fofb.xml,1922,italian,breadsweets,ethnic
29,29,fofb.xml,1922,italian,breadsweets,ethnic
30,30,fofb.xml,1922,italian,breadsweets,ethnic
31,31,fofb.xml,1922,italian,meatfishgame,ethnic
32,32,fofb.xml,1922,italian,breadsweets,ethnic
33,33,fofb.xml,1922,italian,breadsweets,ethnic
34,34,fofb.xml,1922,italian,breadsweets,ethnic
35,35,fofb.xml,1922,italian,meatfishgame,ethnic
36,36,fofb.xml,1922,italian,soups,ethnic
37,37,fofb.xml,1922,italian,soups,ethnic
38,38,fofb.xml,1922,italian,soups,ethnic
39,39,fofb.xml,1922,italian,fruitvegbeans,ethnic
40,40,fofb.xml,1922,italian,fruitvegbeans,ethnic
41,41,fofb.xml,1922,italian,breadsweets,ethnic
42,42,fofb.xml,1922,italian,breadsweets,ethnic
43,43,fofb.xml,1922,italian,breadsweets,ethnic
44,44,fofb.xml,1922,italian,eggscheesedairy,ethnic
45,45,fofb.xml,1922,italian,breadsweets,ethnic
46,46,fofb.xml,1922,italian,breadsweets,ethnic
47,47,fofb.xml,1922,hungarian,fruitvegbeans,ethnic
48,48,fofb.xml,1922,hungarian,meatfishgame,ethnic
49,49,fofb.xml,1922,hungarian,meatfishgame,ethnic
50,50,fofb.xml,1922,hungarian,breadsweets,ethnic
51,51,fofb.xml,1922,hungarian,meatfishgame,ethnic
52,52,fofb.xml,1922,hungarian,meatfishgame,ethnic
53,53,fofb.xml,1922,polish,breadsweets,ethnic
53,53,fofb.xml,1922,slavic,breadsweets,ethnic
54,54,fofb.xml,1922,polish,soups,ethnic
54,54,fofb.xml,1922,slavic,soups,ethnic
55,55,fofb.xml,1922,polish,breadsweets,ethnic
55,55,fofb.xml,1922,slavic,breadsweets,ethnic
56,56,fofb.xml,1922,slavic,breadsweets,ethnic
57,57,fofb.xml,1922,russian,meatfishgame,ethnic
58,58,fofb.xml,1922,slavic,soups,ethnic
59,59,fofb.xml,1922,polish,breadsweets,ethnic
60,60,fofb.xml,1922,slovenian,soups,ethnic
60,60,fofb.xml,1922,slavic,soups,ethnic
61,61,fofb.xml,1922,slovenian,breadsweets,ethnic
61,61,fofb.xml,1922,slavic,breadsweets,ethnic
62,62,fofb.xml,1922,slovenian,meatfishgame,ethnic
62,62,fofb.xml,1922,slavic,meatfishgame,ethnic
63,63,fofb.xml,1922,slovenian,fruitvegbeans,ethnic
63,63,fofb.xml,1922,slavic,fruitvegbeans,ethnic
64,64,fofb.xml,1922,slovenian,soups,ethnic
64,64,fofb.xml,1922,slavic,soups,ethnic
65,65,fofb.xml,1922,slovenian,accompaniments,ethnic
65,65,fofb.xml,1922,slavic,accompaniments,ethnic
66,66,fofb.xml,1922,slovenian,soups,ethnic
66,66,fofb.xml,1922,slavic,soups,ethnic
67,67,fofb.xml,1922,slovenian,meatfishgame,ethnic
67,67,fofb.xml,1922,slavic,meatfishgame,ethnic
68,68,fofb.xml,1922,slovenian,breadsweets,ethnic
68,68,fofb.xml,1922,slavic,breadsweets,ethnic
69,69,fofb.xml,1922,slovenian,meatfishgame,ethnic
69,69,fofb.xml,1922,slavic,meatfishgame,ethnic
70,70,fofb.xml,1922,slovenian,breadsweets,ethnic
70,70,fofb.xml,1922,slavic,breadsweets,ethnic
71,71,fofb.xml,1922,russian,meatfishgame,ethnic
72,72,fofb.xml,1922,russian,meatfishgame,ethnic
73,73,fofb.xml,1922,russian,breadsweets,ethnic
74,74,fofb.xml,1922,russian,accompaniments,ethnic
75,75,fofb.xml,1922,russian,meatfishgame,ethnic
76,76,fofb.xml,1922,russian,fruitvegbeans,ethnic
77,77,fofb.xml,1922,armenian,eggscheesedairy,ethnic
77,77,fofb.xml,1922,syrian,eggscheesedairy,ethnic
77,77,fofb.xml,1922,turkish,eggscheesedairy,ethnic
77,77,fofb.xml,1922,greek,eggscheesedairy,ethnic
78,78,fofb.xml,1922,turkish,breadsweets,ethnic
79,79,fofb.xml,1922,armenian,meatfishgame,ethnic
80,80,fofb.xml,1922,armenian,breadsweets,ethnic
80,80,fofb.xml,1922,syrian,breadsweets,ethnic
80,80,fofb.xml,1922,turkish,breadsweets,ethnic
80,80,fofb.xml,1922,greek,breadsweets,ethnic
81,81,fofb.xml,1922,armenian,breadsweets,ethnic
81,81,fofb.xml,1922,persian,breadsweets,ethnic
81,81,fofb.xml,1922,turkish,breadsweets,ethnic
81,81,fofb.xml,1922,greek,breadsweets,ethnic
82,82,fofb.xml,1922,armenian,fruitvegbeans,ethnic
82,82,fofb.xml,1922,persian,fruitvegbeans,ethnic
82,82,fofb.xml,1922,turkish,fruitvegbeans,ethnic
82,82,fofb.xml,1922,greek,fruitvegbeans,ethnic
83,83,fofb.xml,1922,armenian,meatfishgame,ethnic
83,83,fofb.xml,1922,persian,meatfishgame,ethnic
83,83,fofb.xml,1922,turkish,meatfishgame,ethnic
83,83,fofb.xml,1922,greek,meatfishgame,ethnic
84,84,fofb.xml,1922,armenian,fruitvegbeans,ethnic
84,84,fofb.xml,1922,persian,fruitvegbeans,ethnic
84,84,fofb.xml,1922,turkish,fruitvegbeans,ethnic
84,84,fofb.xml,1922,greek,fruitvegbeans,ethnic
85,85,fofb.xml,1922,armenian,eggscheesedairy,ethnic
85,85,fofb.xml,1922,persian,eggscheesedairy,ethnic
85,85,fofb.xml,1922,turkish,eggscheesedairy,ethnic
85,85,fofb.xml,1922,greek,eggscheesedairy,ethnic
86,86,fofb.xml,1922,armenian,fruitvegbeans,ethnic
86,86,fofb.xml,1922,persian,fruitvegbeans,ethnic
86,86,fofb.xml,1922,turkish,fruitvegbeans,ethnic
86,86,fofb.xml,1922,greek,fruitvegbeans,ethnic
87,87,fofb.xml,1922,armenian,fruitvegbeans,ethnic
87,87,fofb.xml,1922,persian,fruitvegbeans,ethnic
87,87,fofb.xml,1922,turkish,fruitvegbeans,ethnic
87,87,fofb.xml,1922,greek,fruitvegbeans,ethnic
88,88,fofb.xml,1922,armenian,fruitvegbeans,ethnic
88,88,fofb.xml,1922,persian,fruitvegbeans,ethnic
88,88,fofb.xml,1922,turkish,fruitvegbeans,ethnic
88,88,fofb.xml,1922,greek,fruitvegbeans,ethnic
89,89,fofb.xml,1922,armenian,breadsweets,ethnic
90,90,fofb.xml,1922,armenian,eggscheesedairy,ethnic
90,90,fofb.xml,1922,persian,eggscheesedairy,ethnic
90,90,fofb.xml,1922,turkish,eggscheesedairy,ethnic
90,90,fofb.xml,1922,greek,eggscheesedairy,ethnic
91,91,fofb.xml,1922,armenian,eggscheesedairy,ethnic
91,91,fofb.xml,1922,persian,eggscheesedairy,ethnic
91,91,fofb.xml,1922,turkish,eggscheesedairy,ethnic
91,91,fofb.xml,1922,greek,eggscheesedairy,ethnic
92,92,fofb.xml,1922,armenian,meatfishgame,ethnic
92,92,fofb.xml,1922,persian,meatfishgame,ethnic
92,92,fofb.xml,1922,turkish,meatfishgame,ethnic
92,92,fofb.xml,1922,greek,meatfishgame,ethnic
93,93,fofb.xml,1922,armenian,breadsweets,ethnic
93,93,fofb.xml,1922,persian,breadsweets,ethnic
93,93,fofb.xml,1922,turkish,breadsweets,ethnic
93,93,fofb.xml,1922,greek,breadsweets,ethnic
94,94,fofb.xml,1922,armenian,fruitvegbeans,ethnic
95,95,fofb.xml,1922,armenian,meatfishgame,ethnic
96,96,fofb.xml,1922,armenian,meatfishgame,ethnic
97,97,fofb.xml,1922,armenian,breadsweets,ethnic
98,98,fofb.xml,1922,greek,soups,ethnic
99,99,fofb.xml,1922,greek,soups,ethnic
100,100,fofb.xml,1922,armenian,meatfishgame,ethnic
101,101,fofb.xml,1922,syrian,meatfishgame,ethnic
102,102,fofb.xml,1922,jewish,eggscheesedairy,ethnic
103,103,fofb.xml,1922,jewish,soups,ethnic
104,104,fofb.xml,1922,jewish,meatfishgame,ethnic
105,105,fofb.xml,1922,jewish,breadsweets,ethnic
106,106,fofb.xml,1922,jewish,soups,ethnic
107,107,fofb.xml,1922,jewish,eggscheesedairy,ethnic
141,141,hosf.xml,1919,english,fruitvegbeans,general
200,200,hosf.xml,1919,italian,fruitvegbeans,general
236,236,hosf.xml,1919,english,beverages,general
296,296,hosf.xml,1919,english,meatfishgame,general
365,365,hosf.xml,1919,french,breadsweets,general
