,Ethnic,General
salt,1.0,1.0
water,0.9938650306748467,0.9971014492753624
butter,0.9877300613496932,0.9942028985507246
sugar,0.9815950920245399,0.991304347826087
flour,0.9754601226993865,0.9884057971014493
egg,0.9693251533742331,0.9855072463768116
pepper,0.9631901840490797,0.9826086956521739
milk,0.950920245398773,0.9797101449275363
cream,0.9325153374233128,0.9768115942028985
egg yolk,0.9447852760736196,0.9739130434782609
onion,0.9570552147239264,0.9710144927536232
sauce,0.8588957055214724,0.9681159420289855
parsley,0.9386503067484663,0.9652173913043478
nutmeg,0.852760736196319,0.9623188405797102
meat,0.8773006134969326,0.9594202898550724
egg white,0.9263803680981595,0.9565217391304348
lemon,0.9141104294478528,0.9536231884057971
vinegar,0.9202453987730062,0.9507246376811594
lemon juice,0.9079754601226994,0.9478260869565217
garlic clove,0.8834355828220859,0.9449275362318841
fat,0.8895705521472392,0.9420289855072463
gravy,0.7361963190184049,0.9391304347826087
breadcrumb,0.8404907975460123,0.936231884057971
cinnamon,0.901840490797546,0.9333333333333333
bread,0.8098159509202454,0.9304347826086956
fruit,0.7055214723926381,0.927536231884058
juice,0.588957055214724,0.9246376811594202
potato,0.8466257668711656,0.9217391304347826
paste,0.6687116564417178,0.9188405797101449
mace,0.6687116564417178,0.9159420289855073
lard,0.6932515337423313,0.9130434782608695
chicken,0.7914110429447853,0.9101449275362319
soda,0.6196319018404908,0.9072463768115943
mushroom,0.7484662576687117,0.9043478260869565
fish,0.7668711656441718,0.9014492753623189
vanilla,0.8220858895705522,0.8985507246376812
powdered sugar,0.7852760736196319,0.8956521739130435
pork,0.5030674846625767,0.8927536231884058
rice,0.8343558282208589,0.8898550724637682
apple,0.7300613496932515,0.8869565217391304
stock,0.8711656441717791,0.8840579710144928
skin,0.3496932515337423,0.8840579710144928
tomato,0.8957055214723927,0.881159420289855
carrot,0.8282208588957055,0.881159420289855
wine,0.7423312883435583,0.8782608695652174
broth,0.7177914110429447,0.8753623188405797
bone,0.4662576687116564,0.8724637681159421
raisin,0.803680981595092,0.8695652173913043
currant,0.656441717791411,0.8666666666666667
brandy,0.6993865030674846,0.863768115942029
beef,0.6748466257668712,0.8608695652173913
celery,0.8159509202453987,0.8579710144927536
jelly,0.4049079754601227,0.855072463768116
almond,0.8650306748466258,0.8521739130434782
syrup,0.6809815950920245,0.8492753623188406
lemon peel,0.7607361963190185,0.8463768115942029
ham,0.6809815950920245,0.8434782608695652
oil,0.7730061349693251,0.8405797101449275
white wine,0.6380368098159509,0.8376811594202899
oyster,0.6625766871165644,0.8347826086956521
molass,0.558282208588957,0.8318840579710145
yeast,0.6319018404907976,0.8289855072463768
spice,0.5950920245398773,0.8260869565217391
