,date,salt,water,butter,sugar,flour,egg,pepper,milk,cream,egg yolk,onion,parsley,sauce,meat,nutmeg,egg white,lemon,vinegar,lemon juice,garlic clove,fat,cinnamon,breadcrumb,gravy,bread,potato,fruit,juice,paste,mace,lard,chicken,tomato,vanilla,stock,mushroom,fish,powdered sugar,rice,carrot,soda,apple,wine,pork,skin,raisin,almond,broth,celery,bone,oil,currant,brandy,baking powder,lemon peel,beef,syrup,ham,oyster,white wine,yeast,jelly,spice,molass,veal,mustard,orange,brown sugar,paper,truffle,bayleaf,ginger,herb,loaf sugar,thyme,sweet milk,allspice,rind,cheese,bacon,chocolate,cayenne,seasoning,whipcream,cornstarch,fig,cayenne pepper,turnip,toast,citron,gelatine,head,black pepper,peach,sherry wine,pickle,forcemeat,cracker,madeira wine,suet
0,1803,197,185,258,93,159,68,121,39,56,59,57,58,0,9,123,13,93,35,29,45,4,13,24,65,27,7,4,0,9,85,4,8,0,0,0,29,9,5,5,10,0,9,6,8,0,12,10,10,15,4,3,23,11,0,52,11,3,4,25,58,17,1,17,7,9,8,17,4,1,9,5,15,56,6,21,0,2,0,0,20,0,0,2,0,0,0,3,7,2,8,0,7,3,3,0,11,2,0,5,7
1,1807,325,367,332,255,204,165,181,146,167,106,137,90,126,127,123,52,97,71,27,67,87,39,8,143,77,28,76,63,88,125,24,21,1,0,10,41,49,2,44,29,0,40,42,20,71,20,27,41,19,84,12,61,50,0,85,52,29,38,32,30,28,37,28,0,44,25,41,7,59,13,3,25,67,17,22,0,37,21,11,44,3,34,27,0,0,0,1,24,24,15,0,44,20,5,17,31,33,0,5,36
2,1808,77,81,110,82,73,61,31,32,27,25,12,17,9,13,54,5,24,12,2,8,3,22,1,14,18,6,6,5,18,29,6,5,0,0,0,5,7,3,5,3,0,11,26,13,2,14,4,2,2,0,5,21,8,0,15,6,2,2,4,10,4,2,11,9,7,7,8,0,9,1,1,12,13,4,8,0,7,7,0,4,0,2,3,0,0,0,0,5,1,5,0,3,2,1,0,8,2,0,0,4
3,1815,87,89,110,107,119,96,23,80,24,6,11,2,3,3,42,4,5,14,4,11,1,19,1,2,10,9,4,0,9,10,10,2,6,0,0,0,6,3,15,3,1,19,0,8,1,23,0,0,1,0,0,19,0,0,9,8,0,2,2,0,32,0,20,37,3,1,2,13,0,0,0,19,0,7,1,2,9,0,0,1,0,0,0,0,0,0,0,3,0,6,0,1,2,3,0,2,0,9,0,8
4,1827,2,18,0,12,0,1,1,3,1,1,0,0,0,0,1,2,6,6,1,2,1,2,0,0,1,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,5,0,1,0,3,0,0,0,4,1,0,4,0,2,1,0,1,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1830,39,46,22,31,28,21,14,24,1,2,4,2,0,4,12,5,6,7,1,10,4,14,2,3,3,4,2,0,3,2,4,1,1,0,0,0,1,0,6,2,0,5,5,8,0,7,0,0,0,1,1,8,5,0,4,5,0,1,1,0,5,0,6,20,1,0,0,2,0,0,0,8,1,5,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,4
6,1831,61,86,114,115,91,94,28,65,19,7,11,15,0,2,30,7,9,5,1,10,2,20,2,1,12,15,8,2,25,7,12,2,0,0,0,1,5,1,8,5,0,21,26,12,0,17,2,1,0,1,1,22,13,0,7,7,0,1,1,1,21,1,22,15,2,0,8,2,0,0,0,13,5,3,2,0,5,0,0,0,0,2,2,0,0,0,0,3,1,5,0,3,2,3,2,2,0,2,0,3
7,1832,830,960,948,744,667,509,460,326,355,422,321,264,176,193,314,236,210,184,182,185,72,175,129,245,173,44,151,170,234,217,67,40,10,15,49,60,74,148,83,103,1,97,91,23,6,43,121,61,57,77,58,114,134,0,269,88,21,84,70,162,75,66,104,13,111,48,58,81,8,16,68,86,116,269,58,1,79,61,19,106,24,85,30,9,0,2,21,58,1,41,0,46,71,21,18,44,36,3,24,40
8,1838,199,200,208,71,126,107,113,77,40,43,59,66,6,21,63,5,21,40,2,41,5,6,14,42,42,15,14,13,24,37,28,11,15,2,0,8,24,18,12,12,1,11,37,11,5,8,5,1,10,1,9,9,24,0,11,17,19,14,15,20,23,18,10,11,16,7,3,11,12,0,0,10,17,19,19,1,3,14,5,27,2,5,1,0,0,0,7,12,0,7,0,11,10,9,0,15,17,7,0,9
9,1839,96,107,96,51,71,52,42,54,34,26,25,18,3,15,28,20,8,10,12,8,4,20,13,27,8,13,13,8,13,17,8,6,2,0,0,1,5,4,16,7,0,14,7,6,3,7,4,3,4,3,4,14,0,0,22,11,3,6,6,2,13,2,7,13,4,2,2,18,0,0,0,6,6,25,3,1,6,2,0,4,1,4,2,0,0,0,0,6,0,4,0,2,8,1,0,7,0,1,2,4
10,1840,269,414,311,195,212,160,136,141,90,85,81,42,4,10,161,52,68,76,48,65,13,79,38,12,40,29,25,74,59,106,36,12,20,6,0,13,8,29,21,19,2,29,43,15,0,24,37,2,20,14,37,27,26,0,49,35,33,39,25,31,36,24,33,37,13,13,21,47,26,0,0,28,18,128,0,0,13,31,7,19,5,24,4,0,0,0,20,24,4,10,0,9,22,14,4,16,0,5,11,25
11,1846,1,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
